Date : 2026-08-25 12:11:23
Directory : m:\test\ESDBox_IPGUI
Total : 406 files,  412918 codes, 159011 comments, 34455 blanks, all 606384 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_image_api.h                            | C++      |         43 |         11 |          8 |         62 |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_image_ex.c                             | C        |         28 |          3 |          6 |         37 |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_image_ex.h                             | C++      |         15 |          0 |          3 |         18 |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_line.c                                 | C        |        436 |         21 |         62 |        519 |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_line.h                                 | C++      |         36 |          3 |         13 |         52 |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_pixel.c                                | C        |         34 |          2 |          8 |         44 |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_pixel.h                                | C++      |         19 |          0 |          5 |         24 |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_polygon.c                              | C        |        772 |         76 |        146 |        994 |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_polygon.h                              | C        |         82 |         23 |         23 |        128 |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_triangle.c                             | C        |        251 |         12 |         35 |        298 |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_draw_triangle.h                             | C++      |         22 |          3 |          8 |         33 |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_edge_halfplane_mask.c                       | C        |        160 |         14 |         26 |        200 |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_edge_halfplane_mask.h                       | C++      |         50 |          2 |         16 |         68 |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_edge_wdf_mask.c                             | C        |        309 |         40 |         46 |        395 |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_edge_wdf_mask.h                             | C++      |         40 |          0 |         13 |         53 |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_gradient_color.c                            | C        |        497 |         54 |         79 |        630 |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_gradient_color.h                            | C++      |         81 |         15 |         33 |        129 |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_image_buf.c                                 | C        |         30 |          0 |          6 |         36 |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_image_buf.h                                 | C++      |          6 |          2 |          4 |         12 |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_image_mask.c                                | C        |          0 |          0 |          1 |          1 |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_image_mask.h                                | C++      |          6 |          0 |          2 |          8 |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_mask_buf.c                                  | C        |         31 |          0 |          6 |         37 |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_mask_buf.h                                  | C++      |          6 |          2 |          4 |         12 |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_mask_gradient.c                             | C        |        303 |          9 |         55 |        367 |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_mask_gradient.h                             | C++      |         93 |         25 |         30 |        148 |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_pixel_lerp.h                                | C++      |        251 |         36 |         28 |        315 |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_ring_mask.c                                 | C        |        632 |         49 |        101 |        782 |
| m:\test\ESDBox_IPGUI\core\gfx\ipgui_ring_mask.h                                 | C++      |         34 |          1 |          8 |         43 |
| m:\test\ESDBox_IPGUI\core\image\decoder\bmp\ipgui_bmp_dec.c                     | C        |        432 |        129 |         90 |        651 |
| m:\test\ESDBox_IPGUI\core\image\decoder\bmp\ipgui_bmp_dec.h                     | C++      |         11 |          0 |          5 |         16 |
| m:\test\ESDBox_IPGUI\core\image\decoder\gif\ipgui_gif.h                         | C++      |          0 |          0 |          1 |          1 |
| m:\test\ESDBox_IPGUI\core\image\decoder\gif\ipgui_gif_dec.c                     | C        |          0 |          0 |          1 |          1 |
| m:\test\ESDBox_IPGUI\core\image\decoder\gif\ipgui_gif_enc.c                     | C        |          0 |          0 |          1 |          1 |
| m:\test\ESDBox_IPGUI\core\image\decoder\ipgui_image_dec.c                       | C        |         38 |          3 |          7 |         48 |
| m:\test\ESDBox_IPGUI\core\image\decoder\ipgui_image_dec.h                       | C++      |         38 |          2 |          9 |         49 |
| m:\test\ESDBox_IPGUI\core\image\decoder\jpeg\ipgui_jpeg.c                       | C        |        789 |         54 |         94 |        937 |
| m:\test\ESDBox_IPGUI\core\image\decoder\jpeg\ipgui_jpeg.h                       | C++      |          0 |          0 |          1 |          1 |
| m:\test\ESDBox_IPGUI\core\image\decoder\png\ipgui_inflate.c                     | C        |        253 |         24 |         54 |        331 |
| m:\test\ESDBox_IPGUI\core\image\decoder\png\ipgui_png_dec.c                     | C        |        189 |         15 |         32 |        236 |
| m:\test\ESDBox_IPGUI\core\image\decoder\png\ipgui_png_dec.h                     | C++      |         38 |          6 |         13 |         57 |
| m:\test\ESDBox_IPGUI\core\image\decoder\png\ipgui_png_filter.c                  | C        |        301 |         29 |         50 |        380 |
| m:\test\ESDBox_IPGUI\core\image\decoder\qoi\ipgui_qoi.h                         | C++      |          0 |          0 |          1 |          1 |
| m:\test\ESDBox_IPGUI\core\image\decoder\qoi\ipgui_qoi_dec.c                     | C        |          0 |          0 |          1 |          1 |
| m:\test\ESDBox_IPGUI\core\image\decoder\qoi\ipgui_qoi_enc.c                     | C        |          0 |          0 |          1 |          1 |
| m:\test\ESDBox_IPGUI\core\image\ipgui_image.c                                   | C        |          0 |          0 |          1 |          1 |
| m:\test\ESDBox_IPGUI\core\image\ipgui_image.h                                   | C        |         16 |          0 |          6 |         22 |
| m:\test\ESDBox_IPGUI\core\image\proc\ipgui_image_enhance.c                      | C        |          0 |          0 |          1 |          1 |
| m:\test\ESDBox_IPGUI\core\image\proc\ipgui_image_geometry_transform.c           | C        |        411 |         96 |         62 |        569 |
